"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SH3BP2",1.74609056876509e-64,1.34138690991565,0.347,0.067,5.93915246059756e-60,"CM5","SH3BP2"
"LMCD1",2.21635927665579e-64,1.47290818257015,0.429,0.099,7.538724443617e-60,"CM5","LMCD1"
"TMEM120B",2.3778874223331e-64,1.04744329515469,0.718,0.224,8.08814627832381e-60,"CM5","TMEM120B"
"PLEKHA7",2.49668268141759e-64,1.30481381904916,0.898,0.421,8.4922164725738e-60,"CM5","PLEKHA7"
"PVR",3.21407793364142e-64,0.838624035352997,0.592,0.16,1.09323646834879e-59,"CM5","PVR"
"OSBPL8",3.31021894056016e-64,1.22656523502424,0.952,0.471,1.12593787044213e-59,"CM5","OSBPL8"
"CPNE5",3.36675892849409e-64,0.831933906085583,0.837,0.297,1.14516938193798e-59,"CM5","CPNE5"
"ATF7IP2",3.954881984572e-64,1.26719785637505,0.939,0.539,1.34521355823232e-59,"CM5","ATF7IP2"
"ZBTB7A",4.21933996564611e-64,1.25675927704508,0.435,0.1,1.43516629591487e-59,"CM5","ZBTB7A"
"COL15A1",4.34037436208112e-64,1.7086403241582,0.323,0.06,1.47633493551827e-59,"CM5","COL15A1"
"RAB27A",4.99518192725791e-64,1.78675490936965,0.228,0.031,1.6990611807375e-59,"CM5","RAB27A"
"ZCCHC14",5.1921112290759e-64,1.21280981019464,0.622,0.184,1.76604471345788e-59,"CM5","ZCCHC14"
"ARNTL",9.30868391329458e-64,1.21748172613778,0.469,0.114,3.16625574626802e-59,"CM5","ARNTL"
"SEMA5A",1.1531479030891e-63,1.10385861835434,0.973,0.592,3.92231727756727e-59,"CM5","SEMA5A"
"AGO2",1.6090355225097e-63,1.00818510895537,0.793,0.269,5.47297342626451e-59,"CM5","AGO2"
"CANX",1.77707818880313e-63,0.880803423962634,0.629,0.178,6.04455375139497e-59,"CM5","CANX"
"HDAC9",2.72457439220823e-63,0.94638148981256,0.99,0.852,9.26736733765707e-59,"CM5","HDAC9"
"TRIM56",2.94598112984259e-63,1.26363485147856,0.49,0.123,1.00204602150466e-58,"CM5","TRIM56"
"RRBP1",5.02568115841107e-63,1.39094849832367,0.303,0.053,1.70943518922194e-58,"CM5","RRBP1"
"GNB1",5.72556919981002e-63,0.984613810392825,0.779,0.259,1.94749510762338e-58,"CM5","GNB1"
"MEIS1",9.24155645492675e-63,1.40434291797006,0.942,0.534,3.14342301257878e-58,"CM5","MEIS1"
"CHSY1",1.42068637685946e-62,1.14608280309854,0.483,0.12,4.83232264224976e-58,"CM5","CHSY1"
"RAB11FIP3",1.44244294048033e-62,0.943181410454099,0.656,0.195,4.90632541774979e-58,"CM5","RAB11FIP3"
"MARCH2",2.06749400619718e-62,1.35108138946299,0.418,0.095,7.0323741126791e-58,"CM5","MARCH2"
"RTN4RL1",2.27324217292253e-62,1.79404166452604,0.31,0.057,7.73220592697871e-58,"CM5","RTN4RL1"
"NPAS2",4.32597454088121e-62,1.26867219012532,0.942,0.516,1.47143698033534e-57,"CM5","NPAS2"
"B4GALT5",5.39184800311093e-62,1.13808582286765,0.643,0.195,1.83398317977815e-57,"CM5","B4GALT5"
"SH3RF3",5.64400151162283e-62,1.19432673116638,0.799,0.295,1.91975067416339e-57,"CM5","SH3RF3"
"B4GALNT3",6.66944426108186e-62,1.2150553359536,0.932,0.518,2.26854477096438e-57,"CM5","B4GALNT3"
"STX12",7.09062253027644e-62,1.18145311341436,0.639,0.195,2.41180434744823e-57,"CM5","STX12"
"SAV1",7.44826221798184e-62,1.1841698644851,0.381,0.081,2.53345191082434e-57,"CM5","SAV1"
"KCTD17",7.62587179491332e-62,2.41846799683931,0.099,0.006,2.59386403232182e-57,"CM5","KCTD17"
"GRIK2",1.06603845220981e-61,1.00272589655499,0.68,0.218,3.62602319134645e-57,"CM5","GRIK2"
"SOAT1",1.46955885218667e-61,1.22818787002944,0.344,0.068,4.99855747982773e-57,"CM5","SOAT1"
"TAF1B",1.51606830671689e-61,1.1752742431091,0.408,0.091,5.15675473846682e-57,"CM5","TAF1B"
"FAM193B",1.91150183459894e-61,1.05967003316174,0.558,0.155,6.50178234020482e-57,"CM5","FAM193B"
"MXRA7",2.00595838626729e-61,0.880760530911331,0.714,0.224,6.82306685504957e-57,"CM5","MXRA7"
"SPACA6",2.1657474222905e-61,1.20273273378472,0.412,0.094,7.36657328217889e-57,"CM5","SPACA6"
"NRP1",2.47765465190712e-61,1.01089452737085,0.983,0.77,8.42749453299687e-57,"CM5","NRP1"
"GABRA4",3.35423718193474e-61,1.28977969487128,0.656,0.213,1.14091023506328e-56,"CM5","GABRA4"
"PDLIM5",4.6275678101121e-61,0.553100472307288,1,0.972,1.57402091493153e-56,"CM5","PDLIM5"
"PUM3",5.1359606542809e-61,1.02415157401036,0.813,0.294,1.74694565694711e-56,"CM5","PUM3"
"AC009318.1",6.0823779441896e-61,1.30580959797417,0.769,0.291,2.06886003393665e-56,"CM5","AC009318.1"
"PDE11A",6.8483200618514e-61,1.51619225028046,0.486,0.129,2.32938758583814e-56,"CM5","PDE11A"
"AKAP8",1.08176794434834e-60,0.816325115183498,0.497,0.126,3.67952548590644e-56,"CM5","AKAP8"
"DSTYK",1.16396082738444e-60,1.17977433688311,0.452,0.111,3.95909635826544e-56,"CM5","DSTYK"
"CYFIP1",1.23038767973112e-60,0.941014751686822,0.592,0.166,4.18504065383745e-56,"CM5","CYFIP1"
"DOT1L",1.30193360834193e-60,1.01954572186079,0.391,0.086,4.42839697541425e-56,"CM5","DOT1L"
"EFTUD2",1.67938932614943e-60,1.04026873143092,0.548,0.151,5.71227485396467e-56,"CM5","EFTUD2"
"RGMA",2.45624798398914e-60,1.85494108400518,0.187,0.023,8.35468189274066e-56,"CM5","RGMA"
"PARP12",2.55125883511201e-60,1.3571064585233,0.299,0.054,8.67785180174999e-56,"CM5","PARP12"
"EVI5L",2.76708608573459e-60,1.29412067492789,0.33,0.065,9.41196661201762e-56,"CM5","EVI5L"
"AC006001.2",3.06831131863451e-60,1.02039287106127,0.514,0.134,1.04365541192034e-55,"CM5","AC006001.2"
"CLCF1",4.17039557162929e-60,2.96762135517213,0.119,0.009,1.41851834973399e-55,"CM5","CLCF1"
"BRD4",4.37628436525018e-60,0.967544727251781,0.861,0.323,1.4885493639962e-55,"CM5","BRD4"
"INPP5F",5.03473931106274e-60,1.07096669755994,0.537,0.144,1.71251622926488e-55,"CM5","INPP5F"
"CTIF",9.22817255995811e-60,1.06236193814767,0.898,0.386,3.13887061454415e-55,"CM5","CTIF"
"UNC5B",1.63311790918041e-59,1.50842329900044,0.33,0.066,5.55488725628626e-55,"CM5","UNC5B"
"MAP1B",1.80869004941401e-59,1.81372473170562,0.728,0.273,6.15207833407683e-55,"CM5","MAP1B"
"RPS6KA2",2.64386116425831e-59,1.31010745533952,0.772,0.288,8.99282936410821e-55,"CM5","RPS6KA2"
"SLC12A2",3.45552659132603e-59,1.04401163728497,0.629,0.191,1.17536281477364e-54,"CM5","SLC12A2"
"ITGB6",3.59867262023079e-59,1.8213304685472,0.16,0.017,1.2240525050453e-54,"CM5","ITGB6"
"SPATA13",4.12453871017151e-59,1.28146277065154,0.248,0.039,1.40292059687774e-54,"CM5","SPATA13"
"SLC1A4",4.15235520377794e-59,1.52177900205883,0.303,0.057,1.41238209901303e-54,"CM5","SLC1A4"
"SLC37A3",5.4143554960447e-59,0.937483482813673,0.415,0.095,1.84163887842465e-54,"CM5","SLC37A3"
"DENND5B",1.13095521538171e-58,1.03864534571038,0.973,0.662,3.84683106959934e-54,"CM5","DENND5B"
"SEPTIN10",1.27076159803658e-58,0.861272648610937,0.667,0.205,4.32236849956162e-54,"CM5","SEPTIN10"
"SMARCA4",1.33813304611865e-58,1.05890193264787,0.541,0.15,4.55152574306798e-54,"CM5","SMARCA4"
"EPHA3",1.55487529779553e-58,3.09917194108767,0.163,0.018,5.28875283792173e-54,"CM5","EPHA3"
"SINHCAF",1.57240489851067e-58,1.2252587764178,0.337,0.068,5.3483780217942e-54,"CM5","SINHCAF"
"YARS",2.74648765359607e-58,1.01876817746993,0.517,0.139,9.34190310494168e-54,"CM5","YARS"
"TEP1",2.86205246372674e-58,1.22102275981146,0.279,0.049,9.73498525012012e-54,"CM5","TEP1"
"SNTB2",4.67976518820708e-58,1.42222315102806,0.293,0.054,1.59177533111675e-53,"CM5","SNTB2"
"PI4KA",4.87849197042277e-58,0.826747502051335,0.789,0.264,1.6593702588196e-53,"CM5","PI4KA"
"ARHGEF10",5.3610271739633e-58,0.943340100722823,0.745,0.25,1.82349978295188e-53,"CM5","ARHGEF10"
"SLC44A2",5.82757615931834e-58,0.894428204070244,0.534,0.145,1.98219175483054e-53,"CM5","SLC44A2"
"AC107068.2",1.1483884927552e-57,2.69552974793258,0.52,0.167,3.90612861925755e-53,"CM5","AC107068.2"
"ANGPT1",2.57126859831896e-57,1.04897980962195,0.663,0.221,8.7459130103221e-53,"CM5","ANGPT1"
"KLHL5",4.00012810974332e-57,1.56650750746468,0.259,0.044,1.36060357524809e-52,"CM5","KLHL5"
"GALNTL6",8.79038363718572e-57,1.9521247745997,0.333,0.072,2.98996109035235e-52,"CM5","GALNTL6"
"ETV5",9.24379083885746e-57,1.74296757414276,0.221,0.033,3.14418301592898e-52,"CM5","ETV5"
"LIMCH1",9.68659274068078e-57,0.799270745399188,0.986,0.799,3.29479765481516e-52,"CM5","LIMCH1"
"CREB3L2",1.21976239103613e-56,1.01599876785901,0.568,0.166,4.1488997968703e-52,"CM5","CREB3L2"
"STXBP6",1.45385613794737e-56,1.2181884392468,0.922,0.487,4.94514626761418e-52,"CM5","STXBP6"
"PRKACA",1.97775465130923e-56,0.654467835708814,0.646,0.201,6.7271346709632e-52,"CM5","PRKACA"
"AP1S2",2.57931319603794e-56,1.10868088112138,0.908,0.433,8.77327590500346e-52,"CM5","AP1S2"
"CUEDC1",2.70448790710717e-56,0.940129284806592,0.755,0.266,9.19904516723432e-52,"CM5","CUEDC1"
"SCUBE3",3.11266681479364e-56,1.08820175095892,0.497,0.136,1.05874249038391e-51,"CM5","SCUBE3"
"LRRC8C",4.19699096198109e-56,1.48371248438084,0.306,0.06,1.42756450580825e-51,"CM5","LRRC8C"
"NFATC2IP",5.34993662778035e-56,0.904895619282797,0.52,0.144,1.81972744457321e-51,"CM5","NFATC2IP"
"AC124947.1",5.36309801870569e-56,1.11573533444018,0.884,0.391,1.82420416008255e-51,"CM5","AC124947.1"
"DHRS7B",7.5304625389791e-56,1.05188961360187,0.687,0.229,2.56141152800835e-51,"CM5","DHRS7B"
"TMEM184B",7.68493365730682e-56,0.939950122347003,0.408,0.097,2.61395333419634e-51,"CM5","TMEM184B"
"PPARD",8.14250712803793e-56,1.17975920749384,0.497,0.137,2.76959237453082e-51,"CM5","PPARD"
"AAGAB",8.27809818780251e-56,0.939948461165995,0.469,0.12,2.81571231759915e-51,"CM5","AAGAB"
"COL19A1",8.64076000182406e-56,1.25851293511101,0.718,0.256,2.93906810702044e-51,"CM5","COL19A1"
"PTPRD",1.20131953564386e-55,1.10310091507723,0.643,0.212,4.08616826853902e-51,"CM5","PTPRD"
"SERPINH1",1.28870331028629e-55,1.21395921317592,0.248,0.041,4.3833954396078e-51,"CM5","SERPINH1"
"UBTD2",1.38331159440841e-55,1.09494174760195,0.469,0.124,4.70519605722077e-51,"CM5","UBTD2"
"FOXK2",1.55079198053145e-55,0.926538196857151,0.84,0.317,5.27486384257967e-51,"CM5","FOXK2"
"MEIS2",1.69407056421865e-55,0.927094632751748,0.986,0.813,5.76221161713332e-51,"CM5","MEIS2"
"BICD1",1.71703559906435e-55,1.02138591830106,0.677,0.228,5.8403248866575e-51,"CM5","BICD1"
"BBS9",1.79760132779702e-55,1.31407014895193,0.888,0.436,6.1143611563688e-51,"CM5","BBS9"
"TBL1XR1",2.55746456069471e-55,1.0011348514356,0.986,0.671,8.69895995674697e-51,"CM5","TBL1XR1"
"A4GALT",2.67958864036025e-55,0.850902627977455,0.677,0.221,9.11435280132135e-51,"CM5","A4GALT"
"STK38",3.12712824423958e-55,0.952359293162463,0.697,0.236,1.06366140099565e-50,"CM5","STK38"
