"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KIN",9.29140459916807e-12,0.522600763970436,0.136,0.085,3.16037836036103e-07,"Peds_Ctrl","KIN"
"MRPL4",9.80642427050934e-12,1.10724285157212,0.055,0.026,3.33555715137105e-07,"Peds_Ctrl","MRPL4"
"CLK2",9.97117056868236e-12,0.557822315741789,0.09,0.05,3.39159395723162e-07,"Peds_Ctrl","CLK2"
"ZNF500",1.02305982596216e-11,0.747373809034328,0.052,0.023,3.4798356920277e-07,"Peds_Ctrl","ZNF500"
"CCDC141",1.02486003625984e-11,1.3793499296398,0.053,0.024,3.48595892733421e-07,"Peds_Ctrl","CCDC141"
"SNX17",1.04425733547788e-11,0.989965566704317,0.05,0.022,3.55193690089447e-07,"Peds_Ctrl","SNX17"
"TMED4",1.04757604091526e-11,0.959532560660502,0.103,0.061,3.56322514556916e-07,"Peds_Ctrl","TMED4"
"NF2",1.06294139216734e-11,0.55081295083303,0.1,0.057,3.615488851318e-07,"Peds_Ctrl","NF2"
"RIOK2",1.0684745146419e-11,0.756144820267813,0.057,0.027,3.63430921410297e-07,"Peds_Ctrl","RIOK2"
"ATP5MF",1.08073607147238e-11,1.00286415803478,0.107,0.064,3.67601567350615e-07,"Peds_Ctrl","ATP5MF"
"NAPEPLD",1.12352739530149e-11,0.632536384916742,0.083,0.045,3.82156608237848e-07,"Peds_Ctrl","NAPEPLD"
"CLDN12",1.13790995028876e-11,0.866679409803785,0.05,0.022,3.8704869049122e-07,"Peds_Ctrl","CLDN12"
"NDUFS6",1.1509258305708e-11,0.539302573618857,0.139,0.088,3.91475912010353e-07,"Peds_Ctrl","NDUFS6"
"MESD",1.16146912764625e-11,0.503550875338137,0.149,0.095,3.95062109077594e-07,"Peds_Ctrl","MESD"
"CCL21",1.16761312481195e-11,1.64401560244149,0.054,0.025,3.97151928273536e-07,"Peds_Ctrl","CCL21"
"PROSER1",1.17333964058521e-11,0.68847109677737,0.093,0.053,3.99099745348655e-07,"Peds_Ctrl","PROSER1"
"CEP44",1.21340276123573e-11,0.587901984903151,0.1,0.058,4.12726815206721e-07,"Peds_Ctrl","CEP44"
"EOGT",1.22187630286211e-11,0.501532185142016,0.135,0.084,4.15609005655518e-07,"Peds_Ctrl","EOGT"
"ALG5",1.2565969217605e-11,0.515581489226641,0.105,0.061,4.27418876967616e-07,"Peds_Ctrl","ALG5"
"DR1",1.34621951372214e-11,0.668441939253001,0.101,0.058,4.57903105397449e-07,"Peds_Ctrl","DR1"
"DCAF13",1.36213402722241e-11,0.870848026550265,0.071,0.037,4.63316268019431e-07,"Peds_Ctrl","DCAF13"
"RXRB",1.46916090392165e-11,0.834124502410788,0.073,0.038,4.9972038985991e-07,"Peds_Ctrl","RXRB"
"YPEL2",1.49666538216611e-11,0.557911480704613,0.132,0.083,5.0907576308998e-07,"Peds_Ctrl","YPEL2"
"VPS52",1.49802766646484e-11,0.537907585712303,0.074,0.039,5.09539130471351e-07,"Peds_Ctrl","VPS52"
"PIN1",1.4992549997784e-11,0.94864099997912,0.062,0.03,5.09956595624623e-07,"Peds_Ctrl","PIN1"
"CAPS2",1.50891962347195e-11,0.661008940633722,0.086,0.048,5.13243920727748e-07,"Peds_Ctrl","CAPS2"
"MKRN1",1.55314058859729e-11,0.613485216346458,0.086,0.047,5.28285239805481e-07,"Peds_Ctrl","MKRN1"
"AC092329.4",1.56023706340758e-11,0.642475650315307,0.055,0.025,5.30699034747454e-07,"Peds_Ctrl","AC092329.4"
"NAE1",1.59421358056711e-11,0.512836447588026,0.09,0.05,5.42255807294096e-07,"Peds_Ctrl","NAE1"
"FAM234A",1.66752849314833e-11,0.693284835200681,0.096,0.055,5.67193141659472e-07,"Peds_Ctrl","FAM234A"
"NRXN3",1.68068347226501e-11,1.37710299453098,0.072,0.038,5.7166767625622e-07,"Peds_Ctrl","NRXN3"
"NDUFB6",1.68335921826738e-11,0.763475922253941,0.099,0.057,5.72577804501467e-07,"Peds_Ctrl","NDUFB6"
"AC006299.1",1.69474738824623e-11,0.784741940759888,0.097,0.056,5.76451376638074e-07,"Peds_Ctrl","AC006299.1"
"HMG20B",1.75434055873249e-11,0.999346186393184,0.062,0.031,5.96721397647268e-07,"Peds_Ctrl","HMG20B"
"MAT2B",1.78959187457248e-11,0.69652266772429,0.06,0.029,6.08711780217082e-07,"Peds_Ctrl","MAT2B"
"DDIT4",1.81534204745309e-11,0.638052858186403,0.308,0.243,6.17470444020695e-07,"Peds_Ctrl","DDIT4"
"CLCN6",1.86649821281076e-11,0.55794032633374,0.093,0.053,6.34870702105453e-07,"Peds_Ctrl","CLCN6"
"COL4A3",1.8746658678564e-11,0.77489727975123,0.102,0.06,6.37648848292675e-07,"Peds_Ctrl","COL4A3"
"CFAP70",1.95972201818934e-11,0.788869837831764,0.06,0.029,6.66579847266923e-07,"Peds_Ctrl","CFAP70"
"ASCC2",2.03496002420033e-11,0.505414769130315,0.121,0.073,6.921713026315e-07,"Peds_Ctrl","ASCC2"
"ROMO1",2.05295827460528e-11,0.989793520715502,0.062,0.031,6.98293227524241e-07,"Peds_Ctrl","ROMO1"
"ABCD4",2.08934066370167e-11,0.602534146859659,0.118,0.072,7.10668333351485e-07,"Peds_Ctrl","ABCD4"
"WDR13",2.09331170599843e-11,0.696617695170766,0.126,0.078,7.12019043678307e-07,"Peds_Ctrl","WDR13"
"BORCS7",2.09391637291979e-11,0.613159979151414,0.101,0.059,7.12224715084939e-07,"Peds_Ctrl","BORCS7"
"IFT57",2.11599743549191e-11,0.709362945941536,0.067,0.034,7.19735367708217e-07,"Peds_Ctrl","IFT57"
"SLC12A4",2.14203693045576e-11,0.826681332139442,0.098,0.057,7.28592441525221e-07,"Peds_Ctrl","SLC12A4"
"PLEKHJ1",2.18090056233322e-11,1.09781749086633,0.055,0.026,7.4181151727202e-07,"Peds_Ctrl","PLEKHJ1"
"PLOD1",2.30576580134549e-11,0.815126574151904,0.063,0.031,7.84283179669654e-07,"Peds_Ctrl","PLOD1"
"CYBC1",2.35712791133429e-11,0.918457025265068,0.065,0.033,8.01753487761245e-07,"Peds_Ctrl","CYBC1"
"GNA11",2.39385850895572e-11,0.626795133139985,0.099,0.058,8.14247033236198e-07,"Peds_Ctrl","GNA11"
"MCRIP1",2.45677685294001e-11,0.853556437883283,0.071,0.037,8.35648078759014e-07,"Peds_Ctrl","MCRIP1"
"AC106791.1",2.48273277685444e-11,0.679099826448802,0.118,0.073,8.4447672671927e-07,"Peds_Ctrl","AC106791.1"
"RFWD3",2.49729442533942e-11,0.553674764954924,0.079,0.043,8.49429725834952e-07,"Peds_Ctrl","RFWD3"
"CHORDC1",2.51946249233638e-11,0.534614442258803,0.123,0.076,8.56969972143297e-07,"Peds_Ctrl","CHORDC1"
"SLC3A2",2.53083301570587e-11,0.683282022245135,0.106,0.063,8.60837541962194e-07,"Peds_Ctrl","SLC3A2"
"STAMBP",2.58929659997546e-11,0.558566940924415,0.104,0.061,8.80723345515654e-07,"Peds_Ctrl","STAMBP"
"RAB4B",2.6332519779049e-11,0.524796304457626,0.09,0.05,8.95674327764571e-07,"Peds_Ctrl","RAB4B"
"BZW2",2.65531200959454e-11,0.649627445587023,0.108,0.065,9.03177826943488e-07,"Peds_Ctrl","BZW2"
"DMPK",2.70720988319515e-11,0.673137485526786,0.085,0.047,9.20830369669997e-07,"Peds_Ctrl","DMPK"
"USP1",2.71490483435265e-11,0.782435829976802,0.063,0.031,9.2344773035671e-07,"Peds_Ctrl","USP1"
"LRRC6",2.85322615571271e-11,0.616446082325901,0.053,0.024,9.7049634460412e-07,"Peds_Ctrl","LRRC6"
"HNRNPUL2",2.87524038404896e-11,0.7709400359821,0.073,0.038,9.77984264230412e-07,"Peds_Ctrl","HNRNPUL2"
"FBXL15",3.30126061537573e-11,0.936082402023817,0.056,0.027,1.1228907857139e-06,"Peds_Ctrl","FBXL15"
"HRH1",3.41189386190981e-11,0.665145402782174,0.055,0.026,1.16052157819e-06,"Peds_Ctrl","HRH1"
"ZNF322",3.41475877895908e-11,0.622212976338253,0.092,0.053,1.16149605107514e-06,"Peds_Ctrl","ZNF322"
"FAM221A",3.51659599224712e-11,0.838948379990222,0.075,0.041,1.19613496080294e-06,"Peds_Ctrl","FAM221A"
"MRI1",3.59663325609512e-11,0.586986191054886,0.085,0.047,1.22335883572819e-06,"Peds_Ctrl","MRI1"
"TTC32",3.64910921887452e-11,1.05299039573491,0.053,0.025,1.24120800970798e-06,"Peds_Ctrl","TTC32"
"TRAP1",3.67877097347724e-11,0.634352280862685,0.108,0.064,1.25129715891855e-06,"Peds_Ctrl","TRAP1"
"UNC45A",3.80460100718223e-11,0.724221811698045,0.06,0.03,1.29409698658296e-06,"Peds_Ctrl","UNC45A"
"ATP5PD",3.88969275558674e-11,0.805301941559248,0.118,0.074,1.32304009388527e-06,"Peds_Ctrl","ATP5PD"
"ALAS1",3.8985433629684e-11,1.03926372158515,0.074,0.04,1.32605053948007e-06,"Peds_Ctrl","ALAS1"
"PWWP3A",3.95043256149702e-11,0.515914397182114,0.131,0.083,1.34370013146759e-06,"Peds_Ctrl","PWWP3A"
"APIP",4.15001098318131e-11,0.568104692590609,0.083,0.045,1.41158473581929e-06,"Peds_Ctrl","APIP"
"TEP1",4.19603133867167e-11,0.500107866033715,0.1,0.058,1.42723809953578e-06,"Peds_Ctrl","TEP1"
"MALSU1",4.27381261446251e-11,0.5847818576966,0.064,0.032,1.45369462268328e-06,"Peds_Ctrl","MALSU1"
"PPP2R5B",4.313398133369e-11,0.811897409247859,0.075,0.041,1.46715924108413e-06,"Peds_Ctrl","PPP2R5B"
"MED24",4.52779320211564e-11,0.625397309199295,0.081,0.045,1.54008357976761e-06,"Peds_Ctrl","MED24"
"GPX4",4.52785041623437e-11,0.87669055352522,0.1,0.06,1.54010304057796e-06,"Peds_Ctrl","GPX4"
"ACSL1",4.6441381712587e-11,0.619671998503547,0.069,0.036,1.57965715757193e-06,"Peds_Ctrl","ACSL1"
"FBXO4",4.77463555161135e-11,0.984051000168943,0.079,0.043,1.62404453652509e-06,"Peds_Ctrl","FBXO4"
"TMEM147",4.7876392432477e-11,1.01962179821871,0.055,0.026,1.62846761219827e-06,"Peds_Ctrl","TMEM147"
"PPP1R15A",4.92208630336135e-11,0.783330812717876,0.089,0.051,1.67419843522533e-06,"Peds_Ctrl","PPP1R15A"
"SPNS2",4.93530334251554e-11,0.594462586176617,0.174,0.119,1.67869407892324e-06,"Peds_Ctrl","SPNS2"
"ZNRF3",4.96806846511106e-11,0.570347005948521,0.074,0.039,1.68983880772287e-06,"Peds_Ctrl","ZNRF3"
"COQ4",5.15057682321567e-11,0.521656243538383,0.067,0.034,1.75191720064858e-06,"Peds_Ctrl","COQ4"
"DDX56",5.41161312881931e-11,0.754287929430215,0.06,0.03,1.8407060896366e-06,"Peds_Ctrl","DDX56"
"SLC25A6",5.62924724627241e-11,0.630818374902114,0.118,0.073,1.9147321583471e-06,"Peds_Ctrl","SLC25A6"
"PPP1R9A",5.77124135417239e-11,0.702181094921375,0.067,0.034,1.9630300342082e-06,"Peds_Ctrl","PPP1R9A"
"RPAP3",5.89909072240281e-11,0.596767099464634,0.061,0.031,2.00651671831809e-06,"Peds_Ctrl","RPAP3"
"AL096803.2",5.932841597701e-11,0.59930973829504,0.083,0.046,2.01799674104202e-06,"Peds_Ctrl","AL096803.2"
"KLHL36",5.97948693684438e-11,0.84390891314645,0.07,0.037,2.03386268669825e-06,"Peds_Ctrl","KLHL36"
"PARP2",5.98106453589508e-11,0.86404790524014,0.057,0.028,2.03439929123935e-06,"Peds_Ctrl","PARP2"
"TRIQK",5.99562162847278e-11,0.632285865633519,0.142,0.093,2.03935074070873e-06,"Peds_Ctrl","TRIQK"
"POLR2H",6.00959704986771e-11,0.742049615116458,0.069,0.036,2.044104340542e-06,"Peds_Ctrl","POLR2H"
"C2orf42",6.01128828994627e-11,0.573691053493533,0.065,0.033,2.04467959894232e-06,"Peds_Ctrl","C2orf42"
"MDM1",6.23316323678253e-11,0.994550230510175,0.054,0.026,2.12014814335921e-06,"Peds_Ctrl","MDM1"
"WAC-AS1",6.25606946060718e-11,0.560821310371231,0.06,0.03,2.12793946633093e-06,"Peds_Ctrl","WAC-AS1"
"TMEM167A",6.27348256839357e-11,0.65499121869018,0.097,0.056,2.13386236081339e-06,"Peds_Ctrl","TMEM167A"
"DSP",6.87818096336341e-11,0.841234862079135,0.058,0.028,2.33954447287843e-06,"Peds_Ctrl","DSP"
"TPD52L2",6.90237296532575e-11,0.602662837995722,0.08,0.044,2.3477731404259e-06,"Peds_Ctrl","TPD52L2"
"CCDC25",7.13641258367417e-11,0.658902662127666,0.076,0.041,2.42737937621093e-06,"Peds_Ctrl","CCDC25"
"FRA10AC1",7.15440937180572e-11,0.532945741101905,0.186,0.129,2.433500803726e-06,"Peds_Ctrl","FRA10AC1"
