"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SCLT1",8.10195943151563e-08,0.409235690093305,0.333,0.229,0.00275580048103572,"MP1","SCLT1"
"CNOT8",8.29273089688366e-08,0.408311255247621,0.171,0.099,0.00282068948726601,"MP1","CNOT8"
"SLC23A2",8.39440914956156e-08,0.499253259308068,0.276,0.184,0.00285527432813187,"MP1","SLC23A2"
"SHOC2",8.66395405615093e-08,0.40263377797144,0.296,0.2,0.00294695733265918,"MP1","SHOC2"
"ARHGEF18",8.84893004150273e-08,0.276412128468333,0.233,0.147,0.00300987506431674,"MP1","ARHGEF18"
"RP2",8.87802112039499e-08,0.711297284331375,0.134,0.073,0.00301977010389115,"MP1","RP2"
"TMBIM6",9.0071377584889e-08,0.497771702742078,0.22,0.137,0.00306368783717242,"MP1","TMBIM6"
"IFNAR1",9.42756540481168e-08,0.429527146494916,0.203,0.125,0.00320669209679265,"MP1","IFNAR1"
"DDX27",9.46920221511434e-08,0.594990381839805,0.118,0.061,0.00322085444144899,"MP1","DDX27"
"RPL35",9.52724306346791e-08,0.388195210013574,0.172,0.1,0.00324059645560798,"MP1","RPL35"
"SLC12A9",9.74245801185602e-08,0.546992098189207,0.127,0.068,0.00331379966815271,"MP1","SLC12A9"
"EVI5",9.7815920065556e-08,0.24432783509861,0.512,0.38,0.00332711070510982,"MP1","EVI5"
"MT-ND6",9.86581022324022e-08,0.530371976223176,0.161,0.093,0.00335575668933293,"MP1","MT-ND6"
"ATXN7L3",9.88758115934185e-08,0.899606004627493,0.058,0.022,0.00336316185553854,"MP1","ATXN7L3"
"LBR",1.01457914681452e-07,0.553397695944636,0.152,0.086,0.00345098950997492,"MP1","LBR"
"ATAD2B",1.02135913382492e-07,0.309268926331488,0.419,0.306,0.0034740509577921,"MP1","ATAD2B"
"JAK3",1.03558313838356e-07,0.496289459250287,0.113,0.058,0.00352243248689784,"MP1","JAK3"
"NDE1",1.04002962396009e-07,0.48763462542015,0.165,0.095,0.00353755676293786,"MP1","NDE1"
"PIK3R5",1.05300757197619e-07,0.252377227903577,0.719,0.59,0.00358169995531981,"MP1","PIK3R5"
"POSTN",1.05617185349535e-07,1.01963711280886,0.069,0.029,0.00359246294247908,"MP1","POSTN"
"PKIB",1.06272469150679e-07,1.72194982164694,0.058,0.022,0.0036147517656912,"MP1","PKIB"
"PRPSAP2",1.06582096611347e-07,0.713653340447209,0.132,0.072,0.00362528343413837,"MP1","PRPSAP2"
"MPHOSPH6",1.12067163879869e-07,0.689859360809108,0.149,0.085,0.00381185251220987,"MP1","MPHOSPH6"
"CLIP1",1.12151235392953e-07,0.383570059981724,0.307,0.211,0.0038147121206559,"MP1","CLIP1"
"FURIN",1.13605977563552e-07,1.0093957771883,0.067,0.027,0.00386419372084665,"MP1","FURIN"
"TYW1B",1.14008085020494e-07,0.28476994378145,0.195,0.119,0.00387787100388707,"MP1","TYW1B"
"RPS21",1.14133256272339e-07,0.50009479938348,0.154,0.087,0.00388212857884734,"MP1","RPS21"
"DYNC1H1",1.14210256888366e-07,0.428065014562063,0.33,0.23,0.00388474767780089,"MP1","DYNC1H1"
"RPL26",1.15236917699002e-07,0.313369770605586,0.207,0.127,0.00391966851861387,"MP1","RPL26"
