"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MYL31",1.4903522567927e-16,0.728661951539192,0.271,0.209,5.0692841662547e-12,"FB2","MYL3"
"AL445250.1",1.52644854075521e-16,0.596591825225775,0.4,0.333,5.19206206652478e-12,"FB2","AL445250.1"
"KCNMB1",1.59016438229227e-16,1.86156585523602,0.054,0.021,5.40878512992894e-12,"FB2","KCNMB1"
"TNNT2",1.63717833177006e-16,0.582084167637964,0.411,0.357,5.56869837768267e-12,"FB2","TNNT2"
"GASK1B1",2.35156073088001e-16,0.497228722404247,0.446,0.388,7.99859867001528e-12,"FB2","GASK1B"
"RORA-AS1",2.85324801009712e-16,0.826297740062708,0.387,0.336,9.70503778154435e-12,"FB2","RORA-AS1"
"FABP31",4.36232395120297e-16,0.885374569311654,0.155,0.1,1.48380086876218e-11,"FB2","FABP3"
"SCD51",4.79571886897115e-16,0.716007388853087,0.257,0.193,1.63121581609185e-11,"FB2","SCD5"
"MGLL",8.2289421218658e-16,0.778168261393345,0.23,0.169,2.79899237333143e-11,"FB2","MGLL"
"IGFBP51",1.06668446225058e-15,0.554608947129302,0.229,0.164,3.62822052989913e-11,"FB2","IGFBP5"
"AL365295.1",1.11526739141802e-15,0.851208670180956,0.294,0.234,3.79347050516926e-11,"FB2","AL365295.1"
"SPRY11",1.44923239913881e-15,0.565695665961708,0.337,0.272,4.92941908243076e-11,"FB2","SPRY1"
"DCLK11",1.57118248595364e-15,0.236149760424528,0.675,0.627,5.3442201077227e-11,"FB2","DCLK1"
"GRK5",1.73176228203472e-15,0.314992032075773,0.662,0.643,5.89041622611291e-11,"FB2","GRK5"
"DPYD-AS1",2.31563401342636e-15,0.896037172731788,0.268,0.211,7.87639753326843e-11,"FB2","DPYD-AS1"
"SERPINF11",2.8017086614244e-15,0.29952011813059,0.399,0.329,9.52973184096894e-11,"FB2","SERPINF1"
"SPON2",3.16589310864556e-15,0.768734285444472,0.197,0.139,1.0768468819747e-10,"FB2","SPON2"
"ARGLU1",1.12323037254253e-14,0.321439519488397,0.693,0.692,3.82055578916617e-10,"FB2","ARGLU1"
"SOX6",1.27595533726432e-14,0.42546735813499,0.651,0.621,4.34003448417085e-10,"FB2","SOX6"
"CRYBG31",1.5571866760626e-14,0.492142397979644,0.459,0.414,5.29661475995934e-10,"FB2","CRYBG3"
"PPARGC1A",1.94009762145827e-14,1.44154001518663,0.062,0.029,6.59904804962817e-10,"FB2","PPARGC1A"
"ANTXR2",2.13128806587078e-14,0.564902471523751,0.422,0.378,7.24936322725286e-10,"FB2","ANTXR2"
"AC020611.2",2.33683929211146e-14,1.48987690510633,0.085,0.047,7.94852516818793e-10,"FB2","AC020611.2"
"SLCO2B1",2.38169453060806e-14,0.810105868519514,0.146,0.095,8.10109577641025e-10,"FB2","SLCO2B1"
