"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ALDH6A1",3.25211315056438e-35,0.880651270091257,0.122,0.041,1.10617376703297e-30,"Peds_Ctrl","ALDH6A1"
"RPL4",3.37662430147491e-35,0.8808955018888,0.142,0.054,1.14852498990368e-30,"Peds_Ctrl","RPL4"
"MLEC",3.55276742554496e-35,0.600843118023327,0.189,0.084,1.20843831212486e-30,"Peds_Ctrl","MLEC"
"FKBP9",3.75698697052927e-35,0.78165337998733,0.195,0.092,1.27790154815583e-30,"Peds_Ctrl","FKBP9"
"L2HGDH",3.84691029120715e-35,0.584842436040566,0.175,0.076,1.3084880664512e-30,"Peds_Ctrl","L2HGDH"
"POLL",4.18215029207516e-35,1.28143604616409,0.115,0.038,1.42251660034645e-30,"Peds_Ctrl","POLL"
"TELO2",4.2491630000994e-35,1.28394578288041,0.109,0.034,1.44531030285381e-30,"Peds_Ctrl","TELO2"
"ZNF865",4.65896938116685e-35,1.28062939123073,0.078,0.016,1.58470184531009e-30,"Peds_Ctrl","ZNF865"
"C2CD3",4.96394282041994e-35,0.542109059257428,0.249,0.128,1.68843551093764e-30,"Peds_Ctrl","C2CD3"
"GLO1",5.54597283006507e-35,0.691717558311138,0.167,0.071,1.88640719841833e-30,"Peds_Ctrl","GLO1"
"EIF2B5",5.86783765175389e-35,1.50580372027442,0.109,0.035,1.99588629886757e-30,"Peds_Ctrl","EIF2B5"
"NME2",5.86790815488492e-35,1.09000437444513,0.126,0.045,1.99591027980256e-30,"Peds_Ctrl","NME2"
"MANSC1",6.47806541124888e-35,2.13398375034618,0.058,0.006,2.20344916898219e-30,"Peds_Ctrl","MANSC1"
"ANXA6",7.02152652219697e-35,0.531023419636631,0.267,0.142,2.38830203126008e-30,"Peds_Ctrl","ANXA6"
"ANAPC2",7.41109667748997e-35,2.70059738332314,0.065,0.01,2.52081042388144e-30,"Peds_Ctrl","ANAPC2"
"LRP4",7.61913025278672e-35,0.525422722641746,0.176,0.076,2.59157096418288e-30,"Peds_Ctrl","LRP4"
"CNTN5",8.03966335908832e-35,3.60525349946918,0.077,0.017,2.7346110949603e-30,"Peds_Ctrl","CNTN5"
"MSANTD3",9.76045750400197e-35,0.645463492971685,0.154,0.062,3.31992201541123e-30,"Peds_Ctrl","MSANTD3"
"NAIP",9.9705812763869e-35,0.664182763273446,0.21,0.101,3.39139351535024e-30,"Peds_Ctrl","NAIP"
"EIF4G1",1.0853915211092e-34,0.626217986663415,0.169,0.071,3.69185071990085e-30,"Peds_Ctrl","EIF4G1"
"AC012574.1",1.08719710312026e-34,1.95020305319425,0.078,0.017,3.69799222655324e-30,"Peds_Ctrl","AC012574.1"
"GAA",1.10625968519018e-34,1.43476232302563,0.108,0.034,3.76283169320587e-30,"Peds_Ctrl","GAA"
"NEURL2",1.14117491054218e-34,1.66288715989901,0.099,0.029,3.88159234071816e-30,"Peds_Ctrl","NEURL2"
"SUPT5H",1.26808677074997e-34,0.541526222214854,0.173,0.074,4.31327034202893e-30,"Peds_Ctrl","SUPT5H"
"KANSL2",1.2829222998013e-34,0.647718388481435,0.223,0.112,4.36373191054415e-30,"Peds_Ctrl","KANSL2"
"NAXE",1.30011218675334e-34,2.29043696205215,0.07,0.013,4.42220159202282e-30,"Peds_Ctrl","NAXE"
"RPS13",1.31906245681069e-34,0.707171744889344,0.211,0.105,4.48665904059589e-30,"Peds_Ctrl","RPS13"
"ZKSCAN8",1.33370124907366e-34,0.923702094353304,0.174,0.078,4.53645142859915e-30,"Peds_Ctrl","ZKSCAN8"
"CKAP4",1.33705097099353e-34,1.05491476472493,0.111,0.035,4.54784517273738e-30,"Peds_Ctrl","CKAP4"
"GGA1",1.49504700699412e-34,0.615162352203206,0.145,0.056,5.08525288958979e-30,"Peds_Ctrl","GGA1"
"ELP5",1.56392842242479e-34,1.63013352332803,0.105,0.032,5.31954613603569e-30,"Peds_Ctrl","ELP5"
"CNNM4",1.59387635564421e-34,0.66318744045533,0.161,0.067,5.42141103608822e-30,"Peds_Ctrl","CNNM4"
"IFFO1",1.64104210597119e-34,1.2795137169734,0.108,0.034,5.58184061925041e-30,"Peds_Ctrl","IFFO1"
"AC005696.1",1.72703794590701e-34,1.57717122654726,0.083,0.019,5.87434686920809e-30,"Peds_Ctrl","AC005696.1"
"ZNF480",1.88618797636897e-34,0.742896577006706,0.144,0.055,6.41567978282141e-30,"Peds_Ctrl","ZNF480"
"ADAMTSL1",2.11541055180883e-34,0.678299256627689,0.156,0.065,7.19535745092255e-30,"Peds_Ctrl","ADAMTSL1"
"SDC4",2.25342659625666e-34,0.501945021533736,0.23,0.114,7.66480522450739e-30,"Peds_Ctrl","SDC4"
"THAP6",2.29954288801949e-34,0.615955207109994,0.292,0.167,7.8216651793095e-30,"Peds_Ctrl","THAP6"
