"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PICALM1",3.49993593983468e-14,0.302926905684686,0.793,0.724,1.19046821057537e-09,"EC3","PICALM"
"APBB21",3.84222335840773e-14,0.254211949447273,0.705,0.603,1.3068938531288e-09,"EC3","APBB2"
"DENND5A",4.11085404556514e-14,0.411137810067263,0.354,0.262,1.39826589505853e-09,"EC3","DENND5A"
"NEURL1B1",4.65408807823264e-14,0.197059113331811,0.498,0.371,1.58304151893005e-09,"EC3","NEURL1B"
"CACNA2D1",4.67391632956485e-14,0.673741187606419,0.241,0.163,1.58978590033819e-09,"EC3","CACNA2D1"
"DNAJC18",5.63033338224433e-14,0.557566856144743,0.221,0.146,1.91510159663659e-09,"EC3","DNAJC18"
"HLA-DPB1",5.94497090045949e-14,0.802615114771771,0.123,0.069,2.02212240208229e-09,"EC3","HLA-DPB1"
"AL353138.1",6.39887415628577e-14,0.817004225267609,0.086,0.042,2.17651305551904e-09,"EC3","AL353138.1"
"SLC25A27",6.48103907712291e-14,0.74878165623687,0.171,0.106,2.20446063169259e-09,"EC3","SLC25A27"
"BMP1",6.51237727955105e-14,1.00893986989768,0.072,0.033,2.2151200078665e-09,"EC3","BMP1"
"DOCK7",6.79026862147931e-14,0.659706374169262,0.126,0.07,2.30964196890997e-09,"EC3","DOCK7"
"ANXA1",6.90152210188876e-14,0.780256991298737,0.186,0.118,2.34748372773644e-09,"EC3","ANXA1"
"SSBP3",6.92418503429815e-14,0.642865685694702,0.223,0.148,2.35519229756617e-09,"EC3","SSBP3"
"PTK2B",7.90615352805147e-14,0.89520057906132,0.089,0.044,2.68919906103143e-09,"EC3","PTK2B"
"GGT5",7.98030526519457e-14,0.559724037732719,0.187,0.117,2.71442103290328e-09,"EC3","GGT5"
"PPM1L",9.0428056524193e-14,0.798583667644701,0.122,0.068,3.0758199146139e-09,"EC3","PPM1L"
"SDCBP",9.28185963886288e-14,0.511577580716791,0.292,0.207,3.15713173756282e-09,"EC3","SDCBP"
"NR3C2",9.62105286787389e-14,0.273563874743936,0.438,0.334,3.27250492247863e-09,"EC3","NR3C2"
"PIP5K1C1",1.13287866730922e-13,0.549453584113413,0.32,0.234,3.85337349898558e-09,"EC3","PIP5K1C"
"MSRB3",1.21091223847486e-13,0.416187536565066,0.395,0.302,4.11879688794838e-09,"EC3","MSRB3"
"ETV1",1.22101428357045e-13,0.895249477693218,0.116,0.064,4.15315798413653e-09,"EC3","ETV1"
"AC008892.1",1.30738237482496e-13,0.9368402400323,0.145,0.087,4.44693040972962e-09,"EC3","AC008892.1"
"FAM102B",1.35883767392552e-13,0.773485614318522,0.112,0.061,4.62195046409028e-09,"EC3","FAM102B"
"TBC1D30",1.36876809341225e-13,1.0570673849218,0.077,0.037,4.65572779293243e-09,"EC3","TBC1D30"
"TPM3",1.37954887281192e-13,0.594967589172816,0.268,0.188,4.69239753598248e-09,"EC3","TPM3"
"KBTBD2",1.41352169121017e-13,0.520340028464072,0.275,0.193,4.80795268048227e-09,"EC3","KBTBD2"
"KIFC3",1.47280257888241e-13,0.781850749842353,0.172,0.107,5.00959069181062e-09,"EC3","KIFC3"
"ANXA2",1.56142091628565e-13,0.440444099967798,0.389,0.298,5.31101710465401e-09,"EC3","ANXA2"
"TGFBR2",1.58858411055311e-13,0.315280895601173,0.465,0.369,5.40340999363534e-09,"EC3","TGFBR2"
"AC011511.2",1.58872307219141e-13,1.09593099376322,0.062,0.027,5.40388265775186e-09,"EC3","AC011511.2"
"TAF4B",1.68757392987291e-13,1.50252318798626,0.064,0.028,5.74011396506971e-09,"EC3","TAF4B"
"SNCG",1.77590374729932e-13,0.870824145917799,0.118,0.066,6.04055900606391e-09,"EC3","SNCG"
"NCOR2",2.09974189817801e-13,0.55321485693128,0.323,0.239,7.1420620924627e-09,"EC3","NCOR2"
"SNX24",2.15344693293298e-13,0.680059545916391,0.169,0.105,7.32473439767823e-09,"EC3","SNX24"
"CAMKK11",2.1793862283178e-13,0.946792240618654,0.087,0.043,7.41296431700017e-09,"EC3","CAMKK1"
"NOS3",2.26924311525321e-13,0.787958164467969,0.16,0.098,7.71860353222226e-09,"EC3","NOS3"
"ARHGEF281",2.38475472407246e-13,0.727577604870708,0.115,0.063,8.11150471846007e-09,"EC3","ARHGEF28"
"LINC01876",2.66754129331595e-13,0.651852997813778,0.151,0.09,9.07337495508486e-09,"EC3","LINC01876"
"PDS5A",2.73980617087432e-13,0.385069329354763,0.463,0.367,9.3191767096119e-09,"EC3","PDS5A"
"SERPINB6",2.9368770796189e-13,0.577412866491997,0.225,0.154,9.98949369861573e-09,"EC3","SERPINB6"
"B4GALT51",3.06796306203477e-13,0.472372019103285,0.392,0.304,1.04353695592051e-08,"EC3","B4GALT5"
"PTPRR1",3.84524893391604e-13,0.609139876159833,0.128,0.073,1.3079229723822e-08,"EC3","PTPRR"
"PTCHD4",3.87694211364249e-13,1.02718006259772,0.088,0.045,1.31870309053435e-08,"EC3","PTCHD4"
"DDX10",3.87987491318058e-13,0.61025696901011,0.251,0.175,1.31970065296924e-08,"EC3","DDX10"
"SGMS1",4.05780155913005e-13,0.48669906190591,0.312,0.229,1.3802206223225e-08,"EC3","SGMS1"
"SMAD91",4.09338302273891e-13,0.733641165288994,0.202,0.134,1.39232330135441e-08,"EC3","SMAD9"
